CustomerID,Gender,Age,Items Purchased,Category,Purchase Amount,Shipping Type,Subscription Status,Season,Country,Age Group
86,Male,22,Sandals,Footwear,25,Next Day Air,No,Winter,United States,25-34
87,Female,22,Blouse,Clothing,41,Next Day Air,Yes,Winter,United States,25-34
88,Female,22,Sneakers,Footwear,22,Next Day Air,No,Winter,United States,25-34
89,Female,22,Shirt,Clothing,63,Next Day Air,Yes,Winter,France,25-34
98,Female,22,Blouse,Clothing,22,Next Day Air,Yes,Winter,Brazil,25-34
99,Male,22,Sneakers,Footwear,21,Next Day Air,No,Winter,Brazil,25-34
100,Male,22,Shirt,Clothing,45,Next Day Air,Yes,Winter,Brazil,25-34
101,Female,22,Shorts,Clothing,77,Next Day Air,No,Winter,France,25-34
102,Female,22,Coat,Outerwear,50,Next Day Air,Yes,Winter,France,25-34
103,Male,22,Handbag,Accessories,25,Next Day Air,No,Winter,France,25-34
104,Male,22,Sunglasses,Accessories,15,Next Day Air,Yes,Winter,France,25-34
105,Male,22,Scarf,Accessories,69,Next Day Air,No,Winter,France,25-34
106,Female,22,Blouse,Clothing,85,Next Day Air,Yes,Winter,France,25-34
107,Female,22,Sweater,Clothing,12,Next Day Air,No,Winter,France,25-34
108,Male,22,Jeans,Clothing,100,Next Day Air,Yes,Winter,France,25-34
109,Male,22,Sandals,Footwear,23,Next Day Air,No,Winter,France,25-34
110,Male,22,Blouse,Clothing,14,Next Day Air,Yes,Winter,France,25-34
111,Male,22,Sneakers,Footwear,25,Next Day Air,No,Winter,France,25-34
112,Female,22,Shirt,Clothing,41,Next Day Air,Yes,Winter,France,25-34
113,Female,22,Shorts,Clothing,22,Next Day Air,No,Winter,France,25-34
114,Male,22,Coat,Outerwear,63,Next Day Air,Yes,Winter,France,25-34
115,Female,22,Handbag,Accessories,55,Next Day Air,No,Winter,France,25-34
116,Female,22,Sunglasses,Accessories,98,Next Day Air,Yes,Winter,France,25-34
117,Female,22,Scarf,Accessories,99,Next Day Air,No,Winter,France,25-34
118,Female,22,Blouse,Clothing,65,Next Day Air,Yes,Winter,Brazil,25-34
119,Female,22,Sweater,Clothing,35,Next Day Air,No,Winter,Brazil,25-34
120,Female,22,Jeans,Clothing,85,Next Day Air,Yes,Winter,Brazil,25-34
121,Male,22,Sandals,Footwear,96,Next Day Air,No,Winter,Brazil,25-34
122,Female,22,Blouse,Clothing,74,Next Day Air,Yes,Winter,Brazil,25-34
123,Female,22,Sneakers,Footwear,52,Next Day Air,No,Winter,Brazil,25-34
124,Male,22,Shirt,Clothing,22,Next Day Air,Yes,Winter,Brazil,25-34
125,Female,22,Shorts,Clothing,21,Next Day Air,No,Winter,Brazil,25-34
126,Female,22,Handbag,Accessories,77,Next Day Air,No,Winter,Brazil,25-34
127,Male,22,Sunglasses,Accessories,50,Next Day Air,Yes,Winter,Brazil,25-34
129,Male,22,Scarf,Accessories,15,Next Day Air,Yes,Winter,Brazil,25-34
130,Male,22,Blouse,Clothing,69,Next Day Air,No,Winter,Brazil,25-34
131,Male,22,Sweater,Footwear,85,Next Day Air,Yes,Winter,Brazil,25-34
132,Male,22,Jeans,Clothing,12,Next Day Air,No,Winter,Brazil,25-34
133,Female,22,Sandals,Clothing,100,Next Day Air,Yes,Winter,Brazil,25-34
134,Female,22,Blouse,Outerwear,23,Next Day Air,No,Winter,Brazil,25-34
135,Male,22,Shirt,Accessories,25,Next Day Air,No,Winter,Brazil,25-34
136,Female,22,Shorts,Accessories,41,Next Day Air,Yes,Winter,Brazil,25-34
137,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Brazil,25-34
138,Male,22,Handbag,Accessories,63,Next Day Air,Yes,Winter,Brazil,25-34
139,Male,22,Sunglasses,Accessories,55,Free Shipping,No,Winter,Brazil,25-34
140,Female,22,Scarf,Accessories,98,Free Shipping,Yes,Winter,Brazil,25-34
141,Female,22,Scarf,Accessories,99,Free Shipping,No,Winter,Brazil,25-34
142,Male,22,Scarf,Accessories,65,Free Shipping,Yes,Winter,Brazil,25-34
143,Female,22,Scarf,Accessories,35,Free Shipping,No,Winter,Brazil,25-34
144,Female,22,Scarf,Accessories,85,Free Shipping,Yes,Winter,Brazil,25-34
145,Male,22,Scarf,Accessories,96,Free Shipping,No,Winter,United States,25-34
146,Male,22,Scarf,Accessories,74,Free Shipping,Yes,Winter,United States,25-34
147,Male,22,Scarf,Accessories,52,Free Shipping,No,Winter,United States,25-34
148,Female,22,Scarf,Accessories,22,Free Shipping,Yes,Winter,United States,25-34
149,Female,22,Scarf,Accessories,21,Free Shipping,No,Winter,United States,25-34
150,Male,22,Scarf,Accessories,45,Free Shipping,Yes,Winter,United States,25-34
151,Male,22,Scarf,Accessories,77,Free Shipping,No,Winter,United States,25-34
152,Male,22,Scarf,Accessories,50,Free Shipping,Yes,Winter,United States,25-34
153,Female,22,Scarf,Accessories,25,Free Shipping,No,Winter,United States,25-34
154,Female,22,Scarf,Accessories,15,Free Shipping,Yes,Winter,United States,25-34
155,Female,22,Scarf,Accessories,69,Free Shipping,No,Winter,United States,25-34
156,Female,22,Scarf,Accessories,85,Free Shipping,Yes,Winter,United States,25-34
157,Male,22,Sunglasses,Accessories,12,Free Shipping,No,Winter,United States,25-34
158,Female,22,Sunglasses,Accessories,100,Free Shipping,Yes,Winter,United States,25-34
159,Male,22,Sunglasses,Accessories,23,Free Shipping,No,Winter,United States,25-34
160,Female,22,Sunglasses,Accessories,14,Free Shipping,Yes,Winter,United States,25-34
161,Female,22,Sunglasses,Accessories,25,Free Shipping,No,Winter,United States,25-34
171,Male,22,Sunglasses,Accessories,96,Free Shipping,No,Winter,United States,25-34
172,Male,22,Sunglasses,Accessories,74,Free Shipping,Yes,Winter,United States,25-34
173,Male,22,Sunglasses,Accessories,52,Free Shipping,No,Winter,United States,25-34
174,Male,22,Sunglasses,Accessories,22,Free Shipping,Yes,Winter,United States,25-34
175,Female,22,Sunglasses,Accessories,21,Free Shipping,No,Winter,United States,25-34
176,Female,22,Sunglasses,Accessories,45,Free Shipping,Yes,Winter,United States,25-34
177,Male,22,Sunglasses,Accessories,77,Free Shipping,No,Winter,United States,25-34
178,Male,22,Sunglasses,Accessories,50,Free Shipping,Yes,Winter,Turkey,25-34
179,Male,22,Handbag,Accessories,25,Free Shipping,No,Winter,Turkey,25-34
180,Male,22,Handbag,Accessories,15,Free Shipping,Yes,Winter,Turkey,25-34
181,Female,22,Handbag,Accessories,69,Free Shipping,No,Winter,Turkey,25-34
182,Female,22,Handbag,Accessories,85,Free Shipping,Yes,Winter,Turkey,25-34
183,Male,22,Handbag,Accessories,12,Free Shipping,No,Winter,Turkey,25-34
184,Female,22,Handbag,Accessories,100,Free Shipping,Yes,Winter,Turkey,25-34
185,Female,22,Handbag,Accessories,23,Free Shipping,No,Winter,Turkey,25-34
186,Male,22,Handbag,Accessories,14,Free Shipping,Yes,Winter,Turkey,25-34
187,Female,22,Handbag,Accessories,25,Free Shipping,No,Winter,Turkey,25-34
188,Male,22,Handbag,Accessories,41,Free Shipping,Yes,Winter,Turkey,25-34
189,Female,22,Handbag,Accessories,22,Free Shipping,No,Winter,Turkey,25-34
190,Female,22,Handbag,Accessories,63,Free Shipping,Yes,Winter,Turkey,25-34
191,Female,22,Handbag,Accessories,55,Free Shipping,No,Winter,Brazil,25-34
192,Female,22,Handbag,Accessories,98,Free Shipping,Yes,Winter,Brazil,25-34
193,Male,22,Handbag,Accessories,99,Free Shipping,No,Winter,Brazil,25-34
194,Female,22,Handbag,Accessories,65,Free Shipping,Yes,Winter,Brazil,25-34
195,Female,22,Handbag,Accessories,35,Free Shipping,No,Winter,Brazil,25-34
197,Female,22,Handbag,Accessories,96,Free Shipping,No,Winter,Brazil,25-34
198,Male,22,Coat,Outerwear,74,Free Shipping,Yes,Winter,Brazil,25-34
200,Male,22,Coat,Outerwear,22,Free Shipping,Yes,Winter,Brazil,25-34
202,Male,22,Coat,Outerwear,45,Free Shipping,Yes,Winter,Brazil,25-34
203,Female,22,Coat,Outerwear,77,Free Shipping,No,Winter,Brazil,25-34
204,Female,22,Coat,Outerwear,50,Free Shipping,Yes,Winter,Brazil,25-34
205,Female,22,Coat,Outerwear,25,Free Shipping,No,Winter,Brazil,25-34
207,Female,22,Coat,Outerwear,69,Free Shipping,No,Winter,Brazil,25-34
208,Male,22,Coat,Outerwear,85,Free Shipping,Yes,Winter,Brazil,25-34
209,Female,22,Coat,Outerwear,12,Free Shipping,No,Winter,Brazil,25-34
210,Female,22,Coat,Outerwear,100,Free Shipping,Yes,Winter,Brazil,25-34
211,Female,22,Coat,Outerwear,23,Free Shipping,No,Winter,Brazil,25-34
212,Female,22,Coat,Outerwear,14,Free Shipping,Yes,Winter,Brazil,25-34
213,Male,22,Coat,Outerwear,25,Free Shipping,No,Winter,Brazil,25-34
216,Female,22,Coat,Outerwear,63,Free Shipping,Yes,Winter,Brazil,25-34
217,Male,22,Coat,Outerwear,55,Free Shipping,No,Winter,Brazil,25-34
218,Female,22,Coat,Outerwear,98,Free Shipping,Yes,Winter,Brazil,25-34
219,Female,22,Coat,Outerwear,99,Free Shipping,No,Winter,Brazil,25-34
221,Female,22,Coat,Outerwear,35,Free Shipping,No,Winter,Brazil,25-34
222,Female,22,Coat,Outerwear,85,Free Shipping,Yes,Winter,Brazil,25-34
223,Male,22,Coat,Outerwear,96,Free Shipping,No,Winter,Brazil,25-34
224,Female,22,Coat,Outerwear,74,Free Shipping,Yes,Winter,Brazil,25-34
225,Female,22,Coat,Outerwear,52,Free Shipping,No,Winter,Brazil,25-34
226,Female,22,Coat,Outerwear,22,Free Shipping,Yes,Winter,Algeria,25-34
227,Female,22,Coat,Outerwear,21,Free Shipping,No,Winter,Algeria,25-34
228,Male,22,Coat,Outerwear,45,Free Shipping,Yes,Winter,Algeria,25-34
229,Male,22,Coat,Outerwear,77,Express,No,Winter,Algeria,25-34
230,Male,22,Coat,Outerwear,50,Free Shipping,Yes,Winter,Algeria,25-34
231,Female,22,Coat,Outerwear,25,Next Day Air,No,Winter,Algeria,25-34
232,Male,22,Coat,Outerwear,15,2-Day Shipping,Yes,Winter,Algeria,25-34
233,Female,22,Coat,Outerwear,69,2-Day Shipping,No,Winter,Australia,25-34
234,Female,22,Coat,Outerwear,85,2-Day Shipping,Yes,Winter,Australia,25-34
235,Female,22,Coat,Outerwear,12,2-Day Shipping,No,Winter,Australia,25-34
236,Female,22,Coat,Outerwear,100,2-Day Shipping,Yes,Winter,Australia,25-34
237,Male,22,Coat,Outerwear,23,2-Day Shipping,No,Winter,Australia,25-34
238,Male,22,Coat,Outerwear,14,2-Day Shipping,Yes,Winter,Australia,25-34
241,Male,22,Coat,Outerwear,22,2-Day Shipping,No,Winter,Australia,25-34
242,Female,22,Coat,Outerwear,63,2-Day Shipping,Yes,Winter,Australia,25-34
243,Female,22,Coat,Outerwear,55,2-Day Shipping,No,Winter,Australia,25-34
244,Female,22,Coat,Outerwear,98,2-Day Shipping,Yes,Winter,Australia,25-34
245,Female,22,Coat,Outerwear,99,2-Day Shipping,No,Winter,Australia,25-34
246,Female,22,Coat,Outerwear,65,2-Day Shipping,Yes,Winter,Australia,25-34
247,Male,23,Coat,Outerwear,35,2-Day Shipping,No,Winter,Australia,25-34
248,Female,25,Coat,Outerwear,85,2-Day Shipping,Yes,Winter,Australia,25-34
249,Female,46,Coat,Outerwear,96,2-Day Shipping,No,Winter,Australia,55-64
250,Female,28,Coat,Outerwear,74,Express,Yes,Winter,Australia,25-34
251,Male,24,Coat,Outerwear,52,Express,No,Winter,Australia,25-34
252,Female,27,Coat,Outerwear,22,Express,Yes,Winter,Afghanistan,25-34
253,Female,22,Coat,Outerwear,21,Express,No,Winter,Argentina,25-34
254,Female,22,Coat,Outerwear,45,Express,Yes,Winter,Argentina,25-34
255,Female,22,Coat,Outerwear,77,Express,No,Winter,Argentina,25-34
256,Male,22,Coat,Outerwear,50,Express,Yes,Winter,Argentina,25-34
257,Male,22,Coat,Outerwear,25,Express,No,Winter,Argentina,25-34
258,Male,22,Coat,Outerwear,15,Express,Yes,Winter,Argentina,25-34
259,Female,22,Coat,Outerwear,69,Express,No,Winter,Argentina,25-34
260,Male,22,Coat,Outerwear,85,Express,Yes,Winter,Argentina,25-34
261,Female,22,Coat,Outerwear,12,Express,No,Winter,Argentina,25-34
262,Female,22,Coat,Outerwear,100,Next Day Air,Yes,Winter,Argentina,25-34
263,Female,22,Coat,Outerwear,23,Next Day Air,No,Winter,Argentina,25-34
264,Female,22,Coat,Outerwear,14,Next Day Air,Yes,Winter,Turkey,25-34
265,Female,22,Coat,Outerwear,25,Next Day Air,No,Winter,Turkey,25-34
266,Male,22,Coat,Outerwear,41,Next Day Air,Yes,Winter,Turkey,25-34
267,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Turkey,25-34
268,Female,22,Coat,Outerwear,63,Next Day Air,Yes,Winter,Turkey,25-34
269,Female,22,Coat,Outerwear,55,Next Day Air,No,Winter,Turkey,25-34
270,Female,22,Coat,Outerwear,98,Next Day Air,Yes,Winter,Turkey,25-34
271,Male,22,Coat,Outerwear,99,Next Day Air,No,Winter,Turkey,25-34
272,Female,22,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,25-34
273,Female,22,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,25-34
274,Female,22,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,25-34
275,Female,33,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,25-34
276,Male,33,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,25-34
277,Male,33,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,25-34
278,Male,33,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,25-34
279,Female,33,Coat,Outerwear,21,Next Day Air,No,Winter,Pakistan,25-34
280,Male,33,Coat,Outerwear,45,Next Day Air,Yes,Winter,Pakistan,25-34
281,Female,33,Coat,Outerwear,77,Next Day Air,No,Winter,Pakistan,25-34
282,Female,33,Coat,Outerwear,50,Next Day Air,Yes,Winter,Pakistan,25-34
283,Female,33,Coat,Outerwear,25,Next Day Air,No,Winter,Pakistan,25-34
284,Female,33,Coat,Outerwear,15,Next Day Air,Yes,Winter,Pakistan,25-34
285,Female,33,Coat,Outerwear,69,Next Day Air,No,Winter,Pakistan,25-34
286,Male,33,Coat,Outerwear,85,Next Day Air,Yes,Winter,Pakistan,25-34
287,Female,33,Coat,Outerwear,12,Next Day Air,No,Winter,Pakistan,25-34
288,Female,33,Coat,Outerwear,100,Next Day Air,Yes,Winter,Pakistan,25-34
289,Female,33,Coat,Outerwear,23,Next Day Air,No,Winter,Pakistan,25-34
290,Female,33,Coat,Outerwear,14,Next Day Air,Yes,Winter,Pakistan,25-34
291,Male,33,Coat,Outerwear,25,Next Day Air,No,Winter,Pakistan,25-34
292,Female,33,Coat,Outerwear,41,Next Day Air,Yes,Winter,Pakistan,25-34
293,Male,33,Coat,Outerwear,22,Next Day Air,No,Winter,Pakistan,25-34
294,Female,33,Coat,Outerwear,63,Next Day Air,Yes,Winter,Pakistan,25-34
295,Female,33,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,25-34
296,Female,60,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,55-64
297,Female,60,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,55-64
298,Male,60,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,55-64
299,Male,60,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,55-64
300,Male,60,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,55-64
301,Male,60,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,55-64
302,Male,60,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,55-64
303,Female,60,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,55-64
304,Female,60,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,55-64
305,Female,60,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,55-64
306,Female,60,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,55-64
307,Female,60,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,55-64
308,Female,60,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,55-64
309,Male,60,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,55-64
310,Female,55,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,55-64
311,Male,55,Coat,Outerwear,69,Next Day Air,No,Winter,Afghanistan,55-64
312,Female,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,55-64
313,Female,55,Coat,Outerwear,12,Next Day Air,No,Winter,Afghanistan,55-64
314,Female,55,Coat,Outerwear,100,Next Day Air,Yes,Winter,Afghanistan,55-64
315,Male,55,Coat,Outerwear,23,Next Day Air,No,Winter,Afghanistan,55-64
316,Male,55,Coat,Outerwear,14,Next Day Air,Yes,Winter,Afghanistan,55-64
317,Female,55,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,55-64
318,Male,55,Coat,Outerwear,41,Next Day Air,Yes,Winter,Afghanistan,55-64
319,Male,55,Coat,Outerwear,22,Next Day Air,No,Winter,Afghanistan,55-64
320,Female,55,Coat,Outerwear,63,Next Day Air,Yes,Winter,Afghanistan,55-64
321,Male,55,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,55-64
322,Male,55,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,55-64
323,Female,55,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,55-64
324,Male,55,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,55-64
325,Female,55,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,55-64
326,Male,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,55-64
327,Female,55,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,55-64
328,Male,18,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,Under 18
329,Female,20,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,18-24
330,Female,35,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,25-34
331,Male,45,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,35-44
332,Female,60,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,55-64
333,Male,22,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,25-34
334,Male,24,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,25-34
335,Female,68,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,65+
336,Female,53,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,55-64
337,Female,74,Coat,Outerwear,69,Next Day Air,No,Winter,Afghanistan,65+
338,Female,55,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,55-64
339,Female,51,Coat,Outerwear,12,Next Day Air,No,Winter,Afghanistan,55-64
340,Female,42,Coat,Outerwear,100,Next Day Air,Yes,Winter,Afghanistan,35-44
341,Female,43,Coat,Outerwear,23,Next Day Air,No,Winter,Afghanistan,35-44
342,Male,47,Coat,Outerwear,14,Next Day Air,Yes,Winter,Afghanistan,55-64
343,Male,48,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,55-64
344,Female,60,Coat,Outerwear,41,Next Day Air,Yes,Winter,Afghanistan,55-64
345,Female,22,Coat,Outerwear,22,Next Day Air,No,Winter,Afghanistan,25-34
346,Female,21,Coat,Outerwear,63,Next Day Air,Yes,Winter,Afghanistan,25-34
347,Female,19,Coat,Outerwear,55,Next Day Air,No,Winter,Afghanistan,18-24
348,Female,23,Coat,Outerwear,98,Next Day Air,Yes,Winter,Afghanistan,25-34
349,Female,25,Coat,Outerwear,99,Next Day Air,No,Winter,Afghanistan,25-34
350,Female,25,Coat,Outerwear,65,Next Day Air,Yes,Winter,Afghanistan,25-34
351,Female,26,Coat,Outerwear,35,Next Day Air,No,Winter,Afghanistan,25-34
352,Male,28,Coat,Outerwear,85,Next Day Air,Yes,Winter,Afghanistan,25-34
353,Female,27,Coat,Outerwear,96,Next Day Air,No,Winter,Afghanistan,25-34
354,Male,29,Coat,Outerwear,74,Next Day Air,Yes,Winter,Afghanistan,25-34
355,Female,21,Coat,Outerwear,52,Next Day Air,No,Winter,Afghanistan,25-34
356,Male,24,Coat,Outerwear,22,Next Day Air,Yes,Winter,Afghanistan,25-34
357,Female,25,Coat,Outerwear,21,Next Day Air,No,Winter,Afghanistan,25-34
358,Male,26,Coat,Outerwear,45,Next Day Air,Yes,Winter,Afghanistan,25-34
359,Female,23,Coat,Outerwear,77,Next Day Air,No,Winter,Afghanistan,25-34
360,Male,25,Coat,Outerwear,50,Next Day Air,Yes,Winter,Afghanistan,25-34
361,Male,33,Coat,Outerwear,25,Next Day Air,No,Winter,Afghanistan,25-34
362,Male,33,Coat,Outerwear,15,Next Day Air,Yes,Winter,Afghanistan,25-34
